"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","mite control in brinjal?","Spraying of Propargite( Omite) @ 400 ml /acre","MADHYA PRADESH","MORENA","KAILARAS                                          ","2014-08-01 07:12:16.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather report ?","Morena 1 – 3 Day Weather Forecast Summary: Heavy rain (total 24mm), heaviest during Sun morning. Warm (max 37°C on Fri afternoon, min 29°C on Sun night). Wind will be generally light.","MADHYA PRADESH","MORENA","MORENA                                            ","2014-08-01 10:37:39.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","farmer wants to information of Government schemes?","for better information please contact with R.A.E.O.","MADHYA PRADESH","MORENA","KAILARAS                                          ","2014-08-01 11:38:26.000"
"","AGRICULTURE","Others","Others","Market Information","I want number resister in mandi rate ?","your number has been registered for mandi rate .","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-01 14:21:24.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","farmer want to know information about What nutrition gives to our cattle?","Please contact 18001801199 numbers.","MADHYA PRADESH","MORENA","KAILARAS                                          ","2014-08-01 14:57:28.000"
"","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","","INFORMATION TO PERMLLET CROP","????? ?? ????? ?? ??? ?? ?? ??? ?? ??? ?? ??? ??? ??????? ?? ??? ???? ?? ?-? ??? ??? ?????? ????? ???? ???","MADHYA PRADESH","MORENA","SABALGARH                                         ","2014-08-01 15:01:16.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION WEATHER REPORT DISTRICT MORENA","5 DAY RAIN DISTRICT MORENA","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-01 16:01:59.000"
"","AGRICULTURE","Others","Others","Weather","Farmer want to know information about    weather forecast  ?","Morena 1 – 3 Day Weather Forecast Summary: Heavy rain (total 40mm), heaviest during Sat night. Warm (max 36°C on Fri afternoon, min 28°C on Sat night). Wind will be generally light.","MADHYA PRADESH","MORENA","MORENA                                            ","2014-08-01 17:34:47.000"
"","AGRICULTURE","Others","Others","Weather","Farmer want to know information about    weather forecast  ?","Morena 1 – 3 Day Weather Forecast Summary: Heavy rain (total 40mm), heaviest during Sat night. Warm (max 36°C on Fri afternoon, min 28°C on Sat night). Wind will be generally light.","MADHYA PRADESH","MORENA","AMBAH                                             ","2014-08-01 19:11:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Farmer want to information about how to control of fungal attack in crop?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water","MADHYA PRADESH","MORENA","KAILARAS                                          ","2014-08-02 10:07:53.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","weeds control in fallow land ?","Recumended spray glyphosate @ 100ml / pump.","MADHYA PRADESH","MORENA","AMBAH                                             ","2014-08-02 12:26:47.000"
"JAYAD","HORTICULTURE","Vegetables","Potato","Market Information","about information of mandi rate in potato of indore ?","31/07/2014	112.8	Desi minimum-875..maximum-1850...modal price-1500","MADHYA PRADESH","MORENA","MORENA                                            ","2014-08-02 13:22:41.000"
"","AGRICULTURE","Others","Others","","Farmer wants to know information about agriculture insurance?","To know information about agriculture insurance contact to your nearest bank & dial 0755-4218901, 4218902, 4218903","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-02 13:29:14.000"
"JAYAD","HORTICULTURE","Vegetables","Potato","Market Information","Farmer wants to know about mandi rate of potato at Indore district of Madhya Pradesh?","Dear in your's Indore mandi the rate of potato crop is Rs.875 minimum/quintal Rs. 1850maximum/quintal Rs. 1500average/quintal.","MADHYA PRADESH","MORENA","MORENA                                            ","2014-08-02 13:36:22.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","Farmer want to information about govt.schemes?","for detail information please contact -R.A.E.O.","MADHYA PRADESH","MORENA","KAILARAS                                          ","2014-08-02 16:09:28.000"
"","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","","How to control weeds in Arhar crop?","When your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds","MADHYA PRADESH","MORENA","SABALGARH                                         ","2014-08-02 18:24:16.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Farmer wants to know about varieties of sesame crop?","Recommended for TKG-21, TKG-22, TKG-55, JTS-8, UMA are sesame crop varieties.","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 09:53:52.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Farmer wants to know about varieties of sesame crop?","Recommended for TKG-21, TKG-22, TKG-55, JTS-8, UMA are sesame crop varieties.","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 09:54:28.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Farmer wants to know about varieties of sesame crop?","Recommended for TKG-21, TKG-22, TKG-55, JTS-8, UMA are sesame crop varieties.","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 09:55:06.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Farmer wants to know about varieties of sesame crop?","Recommended for TKG-21, TKG-22, TKG-55, JTS-8, UMA are sesame crop varieties.","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 09:56:03.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Farmer wants to know about varieties of sesame crop?","Recommended for TKG-21, TKG-22, TKG-55, JTS-8, UMA are sesame crop varieties.","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 09:56:39.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","Farmer wants to know about varieties of sesame crop?","Recommended for TKG-21, TKG-22, TKG-55, JTS-8, UMA are sesame crop varieties.","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 09:57:39.000"
"","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","weed management in sesame?","recommended for weed management in sesame:hand weeding is done","MADHYA PRADESH","MORENA","PAHADGARH                                         ","2014-08-03 10:09:45.000"
"","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","weed management in pigeonpea?","recommended for weed management in pigeonpea Quizalofop ethyl ( Terga super) @ 300 ml /acre at 15 -20 day after sowing","MADHYA PRADESH","MORENA","PAHADGARH                                         ","2014-08-03 10:15:39.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","","information weather morena district","5 day rain morena district","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 14:45:19.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","What nutrition gives to our cattle?","Please contact 18001801199 numbers.","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 17:03:24.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer want to know information about  weather  forecast","Jora 1 – 3 Day Weather Forecast Summary: Heavy rain (total 75mm), heaviest during Tue afternoon. Warm (max 33°C on Sun morning, min 28°C on Mon night). Wind will be generally light","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 17:55:28.000"
"","AGRICULTURE","Others","Others","Market Information","I want number resister in mandi rate ?","your number has been registered for mandi rate .","MADHYA PRADESH","MORENA","JOURA                                             ","2014-08-03 19:49:59.000"
"","AGRICULTURE","Others","Others","Government Schemes","Farmer want to know information about govt scheme ?","To contact agriculture department for better information","MADHYA PRADESH","MORENA","KAILARAS                                          ","2014-08-03 21:19:31.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","farmer want to know  weather information ?","04/08               05/08               06/08               07/08               08/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                  11                  89                  39                 119                   4","MADHYA PRADESH","MORENA","PORSA                                             ","2014-08-04 07:51:44.000"
